"ID","X2021","X2022","X2023"
"RBBG",0,1,0
"RBBL",1,1,0
"RBBO",1,1,0
"RBBR",1,1,1
"RBBW",1,0,0
"RBBY",1,1,0
"RBGB",1,1,1
"RBGW",0,1,0
"RBGY",0,1,0
"RBLB",1,1,1
"RBLY",1,1,1
"RBOB",0,1,1
"RBOG",0,1,0
"RBOO",0,1,1
"RBOR",0,1,1
"RBOY",0,1,1
"RBRB",1,1,0
"RBRL",1,1,1
"RBRO",0,1,0
"RBRY",1,1,0
"RBWG",0,1,1
"RBWO",0,0,1
"RBWR",0,1,1
"RBWW",0,1,1
"RBWY",0,0,1
"RBYW",0,1,1
"RGBR",0,1,1
"RGBW",0,0,1
"RGGB",0,1,0
"RGGG",0,1,0
"RGGL",1,1,1
"RGGW",0,0,1
"RGGY",0,0,1
"RGOB",0,0,1
"RGOO",0,0,1
"RGOW",0,0,1
"RGWB",0,0,1
"RGWG",0,0,1
"RGWO",0,0,1
"RGWW",0,0,1
"RLBR",1,0,1
"RLBY",1,1,1
"RLYL",1,1,0
"RLYR",1,0,0
"RLYY",1,1,1
"RORB",1,0,0
"RRBB",1,1,1
"RRBG",1,1,1
"RRBR",1,1,0
"RRBW",1,0,0
"RRBY",1,1,1
"RRGB",1,1,1
"RRGG",1,0,0
"RRGO",1,1,1
"RRGY",1,1,0
"RRLB",1,0,1
"RRLL",1,0,0
"RRLR",1,1,0
"RRLY",1,1,1
"RROB",1,1,1
"RROG",1,0,0
"RROO",1,1,1
"RROW",1,1,1
"RROY",1,1,1
"RRRB",1,1,1
"RRRG",1,0,0
"RRRO",1,1,0
"RRRR",1,1,1
"RRWB",1,1,1
"RRWG",1,0,0
"RRWR",1,1,0
"RRWW",1,1,1
"RRWY",1,1,0
"RRYO",1,1,1
"RRYR",1,0,0
"RRYY",1,1,1
"RWBB",1,1,1
"RWBG",1,1,1
"RWBL",1,1,1
"RWBY",1,1,1
"RWLB",1,1,1
"RWLG",1,1,1
"RWLY",1,1,1
"RWRR",1,1,1
"RWWB",1,1,1
"RWWG",1,1,0
"RYBB",1,0,0
"RYBR",1,1,1
"RYBW",0,1,0
"RYLR",1,1,1
"RYLY",1,1,1
"RYRB",0,1,1
"RYYY",1,1,0
"YRRR",1,1,1
